subject,model,accuracy,macro_f1,kappa,balanced_accuracy,n_test,feature_set,n_features
sub-cp033,Math_Model (Logistic Regression),0.6666666666666666,0.6761904761904762,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp035,Math_Model (Logistic Regression),0.5833333333333334,0.5833333333333333,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp036,Math_Model (Logistic Regression),0.16666666666666666,0.17045454545454547,-0.11111111111111116,0.16666666666666666,12,raw + zscore,60
sub-cp037,Math_Model (Logistic Regression),0.4166666666666667,0.4464285714285714,0.2222222222222222,0.41666666666666663,12,raw + zscore,60
sub-cp038,Math_Model (Logistic Regression),0.5,0.41666666666666663,0.33333333333333337,0.5,12,raw + zscore,60
sub-cp039,Math_Model (Logistic Regression),0.16666666666666666,0.125,-0.11111111111111116,0.16666666666666666,12,raw + zscore,60
sub-cp042,Math_Model (Logistic Regression),0.75,0.7374999999999999,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp043,Math_Model (Logistic Regression),0.5833333333333334,0.5642857142857143,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp003,ML_Model (Random Forest),0.75,0.7267857142857143,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp004,ML_Model (Random Forest),0.9166666666666666,0.9142857142857143,0.8888888888888888,0.9166666666666666,12,raw + zscore,60
sub-cp005,ML_Model (Random Forest),0.5833333333333334,0.5571428571428572,0.4444444444444444,0.5833333333333334,12,raw + zscore,60
sub-cp006,ML_Model (Random Forest),0.8333333333333334,0.8035714285714286,0.7777777777777778,0.8333333333333334,12,raw + zscore,60
sub-cp008,ML_Model (Random Forest),0.5833333333333334,0.5611111111111111,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp009,ML_Model (Random Forest),0.125,0.1,-0.16666666666666674,0.125,8,raw + zscore,60
sub-cp011,ML_Model (Random Forest),0.6666666666666666,0.6571428571428571,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp012,ML_Model (Random Forest),0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8333333333333333,12,raw + zscore,60
sub-cp013,ML_Model (Random Forest),0.16666666666666666,0.15476190476190477,-0.11111111111111116,0.16666666666666666,12,raw + zscore,60
sub-cp014,ML_Model (Random Forest),0.9166666666666666,0.9142857142857143,0.8888888888888888,0.9166666666666666,12,raw + zscore,60
sub-cp015,ML_Model (Random Forest),0.9166666666666666,0.9142857142857143,0.8888888888888888,0.9166666666666666,12,raw + zscore,60
sub-cp016,ML_Model (Random Forest),0.6666666666666666,0.6476190476190475,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp017,ML_Model (Random Forest),0.8333333333333334,0.8309523809523809,0.7777777777777778,0.8333333333333333,12,raw + zscore,60
sub-cp018,ML_Model (Random Forest),0.6666666666666666,0.6571428571428571,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp019,ML_Model (Random Forest),0.6666666666666666,0.6583333333333333,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp020,ML_Model (Random Forest),0.6666666666666666,0.6309523809523809,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp022,ML_Model (Random Forest),0.75,0.7202380952380952,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp023,ML_Model (Random Forest),0.6666666666666666,0.6541666666666667,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp024,ML_Model (Random Forest),0.25,0.18253968253968253,0.0,0.25,12,raw + zscore,60
sub-cp025,ML_Model (Random Forest),0.8333333333333334,0.8374999999999999,0.7777777777777778,0.8333333333333333,12,raw + zscore,60
sub-cp026,ML_Model (Random Forest),0.42857142857142855,0.325,0.2222222222222221,0.375,7,raw + zscore,60
sub-cp027,ML_Model (Random Forest),0.7272727272727273,0.7142857142857142,0.6292134831460674,0.7083333333333333,11,raw + zscore,60
sub-cp028,ML_Model (Random Forest),0.5454545454545454,0.5666666666666667,0.39560439560439564,0.5833333333333333,11,raw + zscore,60
sub-cp029,ML_Model (Random Forest),0.75,0.7428571428571429,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp030,ML_Model (Random Forest),0.45454545454545453,0.45119047619047614,0.28260869565217384,0.4583333333333333,11,raw + zscore,60
sub-cp031,ML_Model (Random Forest),0.75,0.7267857142857143,0.6635514018691588,0.7708333333333334,12,raw + zscore,60
sub-cp032,ML_Model (Random Forest),0.4166666666666667,0.43809523809523804,0.2222222222222222,0.41666666666666663,12,raw + zscore,60
sub-cp033,ML_Model (Random Forest),0.3333333333333333,0.29166666666666663,0.11111111111111116,0.3333333333333333,12,raw + zscore,60
sub-cp035,ML_Model (Random Forest),0.5,0.44047619047619047,0.33333333333333337,0.5,12,raw + zscore,60
sub-cp036,ML_Model (Random Forest),0.3333333333333333,0.30952380952380953,0.11111111111111116,0.3333333333333333,12,raw + zscore,60
sub-cp037,ML_Model (Random Forest),0.6666666666666666,0.6571428571428571,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp038,ML_Model (Random Forest),0.6666666666666666,0.6583333333333333,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp039,ML_Model (Random Forest),0.16666666666666666,0.16666666666666666,-0.11111111111111116,0.16666666666666666,12,raw + zscore,60
sub-cp042,ML_Model (Random Forest),0.5,0.4642857142857143,0.33333333333333337,0.5,12,raw + zscore,60
sub-cp043,ML_Model (Random Forest),0.4166666666666667,0.3125,0.2222222222222222,0.41666666666666663,12,raw + zscore,60
sub-cp003,ML_Model (SVM RBF),0.5833333333333334,0.5928571428571429,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp004,ML_Model (SVM RBF),0.75,0.6517857142857143,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp005,ML_Model (SVM RBF),0.3333333333333333,0.3142857142857143,0.11111111111111116,0.3333333333333333,12,raw + zscore,60
sub-cp006,ML_Model (SVM RBF),0.75,0.7267857142857143,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp008,ML_Model (SVM RBF),0.5833333333333334,0.5166666666666666,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp009,ML_Model (SVM RBF),0.5,0.43333333333333335,0.33333333333333337,0.5,8,raw + zscore,60
